feature,importance_mean,importance_std
age,0.18036611987950554,0.0027337827233147676
weeks worked in year,0.11300646140796922,0.0029178132873724436
education,0.09228874944411843,0.003897967423877373
capital gains,0.08487606440613167,0.007601784531077055
tax filer stat,0.07545177882913963,0.006634922031273127
sex,0.07445645585170808,0.0020209875907175093
detailed occupation recode,0.0681612726935515,0.00402934010808345
detailed household and family stat,0.033123319963244836,0.00694281336104321
dividends from stocks,0.032165975416278636,0.0035423904789918872
num persons worked for employer,0.030699212307959616,0.003251101493660263
capital losses,0.02348696767763551,0.0018345279961240477
detailed industry recode,0.01293866360725493,0.0011558994213209741
class of worker,0.00655067338636391,0.00019294397253503105
wage per hour,0.003560949655564897,0.0009699183056315129
marital stat,0.003102827783150852,0.000356149073295172
country of birth mother,0.0020808164257748083,0.0005224064417753507
major occupation code,0.002069699560607948,0.0012250818504834554
state of previous residence,0.0019448139960017337,0.0005968264770985192
race,0.0013977955301071043,0.0011020089860818755
full or part time employment stat,0.0012090075885229739,4.799296857116317e-05
detailed household summary in household,0.0011128272576499028,0.0007148869993290321
own business or self employed,0.0010145872073263156,0.0007507860949072699
fill inc questionnaire for veteran's admin,0.0007921596816573192,0.00019414854530633988
migration code-change in msa,0.0006006404171731891,0.000217651501696688
country of birth father,0.0005488472203168578,0.0011088304918190923
country of birth self,0.0005194749806877544,0.0003358716757038476
member of a labor union,0.0004005782161601301,0.00024231381182866958
hispanic origin,0.00023364144966971553,0.0006743245494159778
migration prev res in sunbelt,0.00021972260564517843,8.419875449148801e-05
major industry code,0.0001871003478691365,0.00010141762584497394
veterans benefits,6.17991467880552e-05,2.363394980221655e-05
migration code-change in reg,3.2930607796780954e-05,5.885208125232249e-05
region of previous residence,2.5280495521788165e-05,0.00012153174569542563
live in this house 1 year ago,1.1757635457354532e-05,8.31882832206585e-06
year,-6.9741893406657e-06,8.932089638414018e-06
enroll in edu inst last wk,-1.2492578370141652e-05,1.931745997985023e-06
citizenship,-3.224451933584819e-05,0.0002113316508511509
migration code-move within reg,-4.0888653550489686e-05,0.0001226773905212833
family members under 18,-7.627597098269767e-05,0.00011185362725255663
reason for unemployment,-0.000416124743499983,0.0004030170068179691
